SK_ID_CURR,TARGET
100001,0.08037741705328799
100005,0.08144286705073914
100013,0.08072140652272525
100028,0.08050869770590471
100038,0.0816648047915854
100042,0.08015391716700153
100057,0.0810751176116709
100065,0.08120856294049819
100066,0.07996523647049766
100067,0.08089556315971139
100074,0.08009040738585661
100090,0.08141322448290549
100091,0.081227211229613
100092,0.08116308178540359
100106,0.08160960787122559
100107,0.08099581185996753
100109,0.08117995795267674
100117,0.08059129818441949
100128,0.08029907097984945
100141,0.08120868717392817
100150,0.08048753257872567
100168,0.08017585878341689
100169,0.07929054588700393
100170,0.0807408784111565
100171,0.08130735069782809
100172,0.08152547026541264
100184,0.08011838149556998
100187,0.08012463457364603
100212,0.08083327212264621
100222,0.08099881047502443
100223,0.08022788286668943
100232,0.08058879616031268
100241,0.08164706806234356
100245,0.08053093862297059
100253,0.08025302550477811
100256,0.08096290357963593
100271,0.08010670408880097
100278,0.08115748796170189
100280,0.08061335345895547
100306,0.08154524789838109
100311,0.08115948178171109
100312,0.08002376519233746
100330,0.0807320220767878
100331,0.08117489870990306
100352,0.08090413096386
100358,0.08104174464785614
100367,0.08095129668625578
100382,0.08063324890537739
100384,0.08038046213733148
100385,0.08112422526157019
100386,0.08064524796195348
100399,0.08043760751118219
100404,0.08029469738577753
100416,0.0804417905184333
100422,0.08169857157642188
100426,0.08083263167729422
100438,0.0804127457650176
100444,0.08088963493299729
100445,0.08130328621182681
100446,0.08121976384280932
100447,0.08013299721069626
100450,0.0803119892398589
100466,0.08096300795171277
100483,0.0806085601948353
100484,0.08000247534415386
100494,0.08074132015337866
100510,0.0812442093444855
100512,0.07988406900148433
100517,0.08047321435588123
100548,0.07968266611972329
100551,0.08031297334908401
100552,0.0815978364110885
100553,0.0808281541813373
100561,0.08090910307972521
100568,0.08144398358118134
100569,0.08037306615352002
100591,0.08119215144693709
100592,0.0796969411281486
100602,0.08104395873463731
100607,0.08080137154767739
100613,0.08052131699449182
100617,0.08044415612444976
100618,0.08124763271163901
100622,0.08179408352184088
100625,0.08110995829678952
100677,0.08071918051792688
100699,0.0807375801596523
100702,0.0813627249248926
100711,0.08032891195947105
100729,0.08171887099711872
100740,0.08143847003219316
100744,0.08118227718790483
100745,0.08109614319911022
100747,0.08093391606399565
100751,0.08100470943183953
100752,0.08067271239585098
